UID        PID  PPID  C STIME TTY          TIME CMD
root      2511     1  0 Oct28 tty6     00:00:00 /sbin/mingetty /dev/tty6
root      2512   475  0 Oct28 ?        00:00:00 /sbin/udevd -d
root      2513   475  0 Oct28 ?        00:00:00 /sbin/udevd -d
root      2532  1870  0 Oct28 ?        00:00:00 sshd: linyun [priv]
linyun    2536  2532  0 Oct28 ?        00:00:00 sshd: linyun@pts/0
linyun    2537  2536  0 Oct28 pts/0    00:00:00 -bash
root      5952     1  0 Oct29 ?        00:00:12 /usr/local/redis/bin/redis-server *:6000                           
root      5956     1  0 Oct29 ?        00:00:12 /usr/local/redis/bin/redis-server *:6001                           
root      5960     1  0 Oct29 ?        00:00:12 /usr/local/redis/bin/redis-server *:6002                           
root      5964     1  0 Oct29 ?        00:00:12 /usr/local/redis/bin/redis-server *:6003                           
root      5968     1  0 Oct29 ?        00:00:12 /usr/local/redis/bin/redis-server *:6004                           
root      5972     1  0 Oct29 ?        00:00:12 /usr/local/redis/bin/redis-server *:6005                           
root      5976     1  0 Oct29 ?        00:00:11 /usr/local/redis/bin/redis-server *:6006                           
root      5980     1  0 Oct29 ?        00:00:11 /usr/local/redis/bin/redis-server *:6007                           
root      5984     1  0 Oct29 ?        00:00:11 /usr/local/redis/bin/redis-server *:6008                           
root      5988     1  0 Oct29 ?        00:00:11 /usr/local/redis/bin/redis-server *:6009                           
root      5992     1  0 Oct29 ?        00:00:12 /usr/local/redis/bin/redis-server *:6100                              
root      5996     1  0 Oct29 ?        00:00:12 /usr/local/redis/bin/redis-server *:6200                              
root      6797     1  0 Oct29 ?        00:00:00 nginx: master process ./nginx
root      6824     1  0 Oct29 ?        00:00:01 php-fpm: master process (/usr/local/php/etc/php-fpm.conf)
www       6825  6824  0 Oct29 ?        00:00:04 php-fpm: pool www
www       6826  6824  0 Oct29 ?        00:00:04 php-fpm: pool www
root     10854  1870  0 09:57 ?        00:00:00 sshd: nosiclin [priv]
nosiclin 10856 10854  0 09:57 ?        00:00:00 sshd: nosiclin@pts/3
nosiclin 10857 10856  0 09:57 pts/3    00:00:00 -bash
nosiclin 11677 10857  0 11:14 pts/3    00:00:03 vim api.php
root     11755  1870  0 11:34 ?        00:00:00 sshd: nosiclin [priv]
nosiclin 11757 11755  0 11:34 ?        00:00:00 sshd: nosiclin@notty
nosiclin 11758 11757  0 11:34 ?        00:00:00 /usr/libexec/openssh/sftp-server
root     11774  1870  0 11:35 ?        00:00:00 sshd: nosiclin [priv]
nosiclin 11776 11774  0 11:35 ?        00:00:00 sshd: nosiclin@pts/8
nosiclin 11777 11776  0 11:35 pts/8    00:00:00 -bash
www      11890  6797  0 11:40 ?        00:00:00 nginx: worker process
www      11891  6797  0 11:40 ?        00:00:00 nginx: worker process
www      11892  6797  0 11:40 ?        00:00:00 nginx: worker process
www      11893  6797  0 11:40 ?        00:00:00 nginx: worker process
www      11894  6797  0 11:40 ?        00:00:00 nginx: worker process
www      11895  6797  0 11:40 ?        00:00:00 nginx: worker process
www      11896  6797  0 11:40 ?        00:00:00 nginx: worker process
www      11897  6797  0 11:40 ?        00:00:00 nginx: worker process
www      11898  6797  0 11:40 ?        00:00:00 nginx: worker process
www      11899  6797  0 11:40 ?        00:00:00 nginx: worker process
www      11900  6797  0 11:40 ?        00:00:00 nginx: worker process
www      11901  6797  0 11:40 ?        00:00:00 nginx: worker process
www      11902  6797  0 11:40 ?        00:00:00 nginx: worker process
www      11903  6797  0 11:40 ?        00:00:00 nginx: worker process
www      11904  6797  0 11:40 ?        00:00:00 nginx: worker process
www      11905  6797  0 11:40 ?        00:00:00 nginx: worker process
root     12000  1870  0 11:50 ?        00:00:00 sshd: nosiclin [priv]
nosiclin 12002 12000  0 11:50 ?        00:00:00 sshd: nosiclin@pts/9
nosiclin 12003 12002  0 11:50 pts/9    00:00:00 -bash
nosiclin 12068 12003  0 11:54 pts/9    00:00:00 vim user.php
root     12069  1870  0 11:55 ?        00:00:00 sshd: nosiclin [priv]
nosiclin 12071 12069  0 11:55 ?        00:00:00 sshd: nosiclin@pts/10
nosiclin 12072 12071  0 11:55 pts/10   00:00:00 -bash
root     12116 12072  0 11:56 pts/10   00:00:00 sudo vim cps2.xtgames.cn.conf
root     12117 12116  0 11:56 pts/10   00:00:00 vim cps2.xtgames.cn.conf
postfix  12209  2358  0 12:28 ?        00:00:00 pickup -l -t fifo -u
root     12346  1870  0 13:36 ?        00:00:00 sshd: nosiclin [priv]
nosiclin 12348 12346  0 13:36 ?        00:00:00 sshd: nosiclin@pts/1
nosiclin 12349 12348  0 13:36 pts/1    00:00:00 -bash
nosiclin 12496     1  0 13:47 pts/1    00:00:00 ./bin/zjhsvr -f ./conf/normal_zjhsvr_low0.conf
nosiclin 12497     1  0 13:47 pts/1    00:00:00 ./bin/zjhsvr -f ./conf/normal_zjhsvr_low1.conf
